,KIC,Teff,eTeff,age,loage,upage,modmass,lomodmass,upmodmass,feh,efeh,modlogg,upmodlogg,lomodlogg,nus*,l_nus*,u_nus*,i,l_i,u_i,P,l_P,u_P,flag,hrclass,source
24,6508366,6331,77,2.0582,0.1437,0.1278,1.5279,0.019,0.0304,-0.05,0.1,3.9424,0.0066,0.0055,2.27875926427571,0.044032691036342,0.04293502215621701,86.96011109936987,3.1829814882242338,2.085100827926033,5.065098363122821,0.09551971581355,0.10241355686816803,0,H,L
25,6521045,5825,75,6.5,0.56,0.46,1.1079999999999999,0.019,0.021,0.02,0.1,4.125,0.004,0.004,0.44780511761143393,0.02462845160903,0.025516219277753997,75.69249964848994,11.156235942471765,9.707309359502755,24.779456674028896,2.03032712812684,1.85282475148489,0,MS,K
26,6603624,5674,77,7.8234,0.8624,0.9422,1.0092,0.0209,0.0285,0.28,0.1,4.3197,0.0055,0.0044,1.1344714984061202,0.132165388588352,0.127662740101165,6.893699802956143,0.7904042611242968,0.760151957885142,1.21826670549047,0.019086210690419,0.036712789892573996,2,MS,L
27,6679371,6479,77,1.9464,0.1597,0.1757,1.5279,0.019,0.0399,0.01,0.1,3.9336,0.0077,0.0066,1.89537436092275,0.05553841975614401,0.05206221193447401,82.11678692808596,7.1815691825595,5.491326394416174,6.01698046602947,0.21761498268085,0.216444034450512,0,H,L
28,6933899,5832,77,6.3381,0.6228,0.7187,1.1289,0.0304,0.0285,-0.01,0.1,4.0865,0.0066,0.0077,0.36011540245254703,0.023033270790578996,0.021967583186741,64.34194720362702,13.971139698102316,16.079913323058417,28.9060325265692,4.83490017429016,3.69987334375018,0,MS,L
29,7103006,6344,77,2.4734,0.2396,0.2236,1.4177,0.019,0.0399,0.02,0.1,4.015,0.0066,0.0066,1.3590860459112,0.08926876585888499,0.082486958772743,56.83495998706655,8.817349907552801,14.767728606095659,7.095958770672441,1.00475403178112,1.32388533680198,0,H,L
30,7106245,6068,102,6.2732,1.0591,1.0591,0.9214,0.0379,0.0216,-0.99,0.19,4.3254,0.006999999999999999,0.006999999999999999,0.315397648429442,0.10160743140144698,0.157316306879461,33.44084738917802,14.71215073576371,38.43187838759504,21.411616986720002,13.215676163200701,23.7770069633356,3,MS,L
31,7206837,6305,77,2.9046,0.3034,0.4152,1.298,0.0304,0.0304,0.1,0.1,4.1635,0.0066,0.0077,1.52981895166575,0.120557699836382,0.11771479824421499,31.71017657943776,2.7774594529414034,3.1726621891224056,3.9744292765378,0.4489602281445821,0.550512125984938,0,H,L
32,7296438,5775,77,7.2325,1.7727,1.4852,1.0776,0.0494,0.0608,0.19,0.1,4.2009,0.0099,0.0088,0.19774657215530803,0.055563775812455994,0.06442780778305,50.51967438536879,31.143352078441755,28.194246765046127,45.5856749635449,29.0350761662256,23.3848927705437,1,MS,L
33,7510397,6171,77,2.8247,0.1597,0.1437,1.3683,0.0209,0.0209,-0.21,0.1,4.0359,0.0044,0.0066,0.643774408820852,0.057987693784373004,0.055144213090421,19.906446789775732,1.9967105483649579,2.0154931919573014,6.12767913974767,0.6439622583398921,0.672014774887193,0,MS,L
34,7670943,6463,110,2.78,0.51,0.62,1.239,0.051,0.04,0.09,0.11,4.228,0.008,0.008,1.83359965620254,0.144700718418271,0.14146234138759398,75.67131519557553,11.484254770041133,9.761866256006725,6.046142099378329,0.586529015173145,0.5977303585135749,0,H,K
35,7680114,5811,77,7.6796,1.2776,1.4533,1.0586,0.0494,0.0399,0.05,0.1,4.1723,0.0099,0.0077,0.25867773816722894,0.044230425481479,0.050229266929547,37.001588629700755,16.26763415647167,34.31917839614207,27.339763283758202,13.484188317529302,19.5552508979513,0,MS,L
36,7771282,6248,77,3.24,0.3194,0.3513,1.2885,0.0304,0.0304,-0.02,0.1,4.1118,0.0066,0.0066,1.00801390915832,0.180121216134933,0.139929304512612,69.4725816366286,17.831102870689072,14.609095164426972,10.4375385699163,1.6889105236631499,2.3041956534569197,0,MS,L
37,7871531,5501,77,9.9633,1.7727,1.9324,0.8287,0.0209,0.0304,-0.26,0.1,4.4781,0.0055,0.0066,0.32694259106385,0.032172917640726,0.027758482934104,71.29716802375137,13.223450678731353,11.996047661664024,33.0947002549432,4.06249229619649,4.135586072275371,0,MS,L
38,7940546,6235,77,2.3297,0.0798,0.0798,1.3987,0.0114,0.0304,-0.2,0.1,4.0073,0.0011,0.0033,1.13907881344394,0.029686325162727997,0.030259063817815,78.89983822751825,7.88659054995723,7.42540424100719,9.9214079763824,0.407623792368868,0.342000724542801,0,MS,L
39,7970740,5309,77,12.9817,1.9963,1.3575,0.728,0.0095,0.0304,-0.54,0.1,4.5386,0.0055,0.0044,0.257845246715062,0.022412087164807002,0.025184711227025,60.699675216091656,15.295158657061535,17.4061475552799,39.171862345339896,8.98191071618894,6.70907691038283,0,MS,L
40,8006161,5488,77,3.5913,1.4533,1.5331,0.9788,0.0304,0.0304,0.34,0.1,4.4935,0.0066,0.0066,0.33806908157529303,0.021144172227121002,0.019237010279928,37.007239415238,3.4074025525515697,4.087728089152131,20.5968523519438,1.8390234998446298,2.2489411999649103,0,MS,L
41,8077137,6072,75,6.23,1.23,0.56,1.117,0.049,0.04,-0.09,0.1,4.056,0.013000000000000001,0.01,0.8438500768704359,0.06717564597086799,0.060766275915623,72.76830672232647,12.582647767416695,11.280134689759592,12.9719547934326,1.4631252222088602,1.34716527218905,0,MS,K
42,8150065,6173,101,3.8309,0.6707,0.9901,1.1878,0.0494,0.0399,-0.13,0.15,4.2196,0.0077,0.0077,0.537686901432444,0.126743167369814,0.10841470778526699,63.950429344146826,21.102773175480507,18.007592748074682,18.6440123940055,4.88388228316666,6.3553956434246395,0,MS,L
43,8179536,6343,77,3.5434,0.8145,1.038,1.1593,0.0608,0.0494,-0.03,0.1,4.2548,0.0099,0.0099,1.4555161309565299,0.08774649493052401,0.095650512344818,55.69966763533455,7.405870173505288,13.278262451108388,6.53849698640154,0.8241107594071971,1.19597770744776,0,H,L
44,8228742,6122,77,2.8886,0.1757,0.1597,1.3778,0.019,0.0209,-0.08,0.1,4.0348,0.0055,0.0066,0.64489237315823,0.040274348067283,0.038076166896949995,37.865331252188746,4.012444104653816,6.176931960122402,11.004887002162599,1.3323897701439198,1.9505712815840501,0,MS,L
45,8292840,6239,94,3.85,0.75,0.81,1.148,0.049,0.051,-0.14,0.1,4.24,0.008,0.008,1.4486638822031102,0.074810528210888,0.07267628964772299,76.23395057281965,9.080451995284664,8.902450039773402,7.706596097966,0.528161800652648,0.49732935496580494,0,MS,K
46,8349582,5699,74,8.03,0.7,0.8,1.068,0.019,0.021,0.3,0.1,4.163,0.003,0.004,0.228846827516446,0.063764317188242,0.06932670635658501,59.61852146948034,24.060247185853985,20.651045129015863,41.681730881708496,14.9463852104454,19.5654666889724,1,MS,K
47,8379927,6067,120,1.9943,0.7506,0.8464,1.1194,0.0399,0.0399,-0.1,0.15,4.3879,0.0066,0.0077,1.1237318253292399,0.019938020216031003,0.019693807199021002,63.328421325911016,2.3204699908847104,2.4817434470489657,9.19760341638543,0.234504348571347,0.254623481281108,0,MS,L
