IDX,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,hrclass,nus+ACo-,l+AF8-nus+ACo-,u+AF8-nus+ACo-,cosi,l+AF8-cosi,u+AF8-cosi,i,l+AF8-i,u+AF8-i,nus,l+AF8-nus,u+AF8-nus,P,l+AF8-P,u+AF8-P,vsini,l+AF8-vsini,u+AF8-vsini,fit+AF8-numax,efit+AF8-numax,fit+AF8-d01,efit+AF8-d01,fit+AF8-d02,efit+AF8-d02,fit+AF8-epsilon,efit+AF8-epsilon,V1,eV1,V2,eV2,rhat+AF8-flag,eye+AF8-flag,comment,neff+AF8-xsplit,neff+AF8-cosi,neff+AF8-split,neff+AF8-i,ebprp
20,7206837,6305,2.9046,79.131,77,0.037,0.1,10.6,0.1,0.3034,0.0077,0.0304,0.018,4.1635,1.298,1.5635,1652.5,L,0.4152,0.0066,0.0304,0.015,9.701859,0.6637449,SG,1.52981895166575,0.120557699836382,0.117714798244215,0.850717764447565,0.03039455642707,0.024470654826167,0.553446987699982,0.048475812294468,0.055373401253717,2.91213486742341,0.354295315599517,0.370853557726775,3.9744292765378,0.448960228144582,0.550512125984938,10.4553793304854,0.823938337035045,0.804508838849664,1659.90289858303,6.8692028995622,0.471992345595211,0.005383167327454,0.074239436349151,0.005172430294848,1.05865727980923,0.003295939617462,1.24136823277346,0.037536056209758,0.693135945604922,0.043482947973569,,0,,2697,2679,2087,2678,0.003151817057914
21,7296438,5775,7.2325,88.698,77,0.04,0.1,8.5,0.19,1.7727,0.0088,0.0494,0.018,4.2009,1.0776,1.3626,1847.8,L,1.4852,0.0099,0.0608,0.024,10.045428,0.839303,MS,0.197746572155308,0.055563775812456,0.06442780778305,0.635813218209047,0.440105339625025,0.307546622790742,0.881734655060128,0.543554033876628,0.492082436169815,0.253897174569218,0.086085387604526,0.445417378502043,45.5856749635449,29.0350761662256,23.3848927705437,1.17782080186035,0.330949711383196,0.383745778235475,1849.60148650285,6.47482321492066,0.447256942133006,0.003626052892027,0.060221212082032,0.003220286524349,1.35978459804179,0.002639807466919,1.28102033980658,0.041987236834847,0.808692744511263,0.036274164695143,,1,+ACI-funky sampling in cosi, median looks good+ACI-,307,1706,823,1034,0.003181451541342
22,7510397,6171,2.8247,62.249,77,0.02,0.1,3.4,+AC0-0.21,0.1597,0.0066,0.0209,0.018,4.0359,1.3683,1.8574,1189.1,L,0.1437,0.0044,0.0209,0.018,7.732988,0.6897621,SG,0.643774408820852,0.057987693784373,0.055144213090421,0.940249822297332,0.012556462738022,0.01129233884462,0.347433038854642,0.03484917327827,0.035176992251185,1.88881855846555,0.186672221327662,0.221807197050035,6.12767913974767,0.643962258339892,0.672014774887193,5.22686185157638,0.470807258489174,0.447720785089058,1183.7542242874,2.64165071497791,0.433903885938867,0.003757958579833,0.071164212245882,0.003439783316612,1.11496414235576,0.002876547975986,1.33320828474489,0.025982338730657,0.869572812116766,0.026317197175807,,0,,2824,2717,4719,2656,0.005355226643465
23,7680114,5811,7.6796,85.145,77,0.039,0.1,7.1,0.05,1.2776,0.0077,0.0494,0.021,4.1723,1.0586,1.3926,1709.1,L,1.4533,0.0099,0.0399,0.021,10.02261,0.80933,SG,0.258677738167229,0.044230425481479,0.050229266929547,0.798618781684896,0.478349132019442,0.136615601891547,0.645799550056775,0.283923777540321,0.598982659591986,0.423342189997174,0.176533989109566,0.411994784740382,27.3397632837582,13.4841883175293,19.5552508979513,1.57466189232549,0.269246074209918,0.305763120838291,1707.70225966588,5.80644744919664,0.43879441254038,0.003660746948556,0.06327293840622,0.002835225329503,1.37110125638709,0.002234029975108,1.25527988056087,0.041215242035637,0.796292440126682,0.033398958890137,,0,,3238,2944,2236,2724,0.003312309060602
24,7771282,6248,3.24,72.463,77,0.069,0.1,27,+AC0-0.02,0.3194,0.0066,0.0304,0.018,4.1118,1.2885,1.6535,1465.1,L,0.3513,0.0066,0.0304,0.015,10.712941,0.7155037,SG,1.00801390915832,0.180121216134933,0.139929304512612,0.35065557549296,0.247544938096276,0.269924691273211,1.21252528941972,0.311211454355337,0.254976811356433,1.10888922782282,0.200529825103993,0.214069528667888,10.4375385699163,1.68891052366315,2.30419565345692,7.2857219972801,1.3018799588459,1.0113808973161,1458.20672411092,7.44025108431492,0.446793536244625,0.00754706219475,0.068537927321365,0.004893625152853,1.11669024100907,0.006102841135071,1.24835301093401,0.053768429272276,0.838566882776178,0.072994641943004,,0,,511,3514,1558,3621,0.002508740643872
25,7871531,5501,9.9633,151.329,77,0.025,0.1,19.3,+AC0-0.26,1.7727,0.0066,0.0209,0.012,4.4781,0.8287,0.8707,3455.9,L,1.9324,0.0055,0.0304,0.009,9.206715,0.95205975,MS,0.32694259106385,0.032172917640726,0.027758482934104,0.320659806514893,0.203871470266305,0.208167911850614,1.24437032936208,0.230792752818941,0.209370528922204,0.349725908274966,0.038847985577244,0.048937331843523,33.0947002549432,4.06249229619649,4.13558607227537,1.24434817825788,0.122450584750089,0.105649183111505,3452.33418835203,9.77196166759677,0.482740112247924,0.002260793349668,0.053038314376371,0.001911497904599,1.50651885155212,0.001172850206441,1.2310036246818,0.054648246078928,0.656748827950041,0.038519078002571,,0,,1768,2790,2506,2793,0.003759669691466
26,7940546,6235,2.3297,58.762,77,0.029,0.1,3.3,+AC0-0.2,0.0798,0.0033,0.0114,0.009,4.0073,1.3987,1.9414,1116.6,L,0.0798,0.0011,0.0304,0.027,7.3015323,0.668056,SG,1.13907881344394,0.029686325162728,0.030259063817815,0.192524736555005,0.128432080434804,0.132824790502034,1.37706195636108,0.137646971853424,0.129597752297126,1.16657576242615,0.03887302628533,0.049982638924846,9.9214079763824,0.407623792368868,0.342000724542801,9.66653151507538,0.251926200685507,0.2567866161317,1116.55759071355,3.01703391119008,0.427959295829208,0.004146831139269,0.071262711939901,0.003878690790912,1.07896635398306,0.002986249762675,1.36764725651563,0.034939639178899,0.965258154120146,0.040370457037148,,0,,1964,2258,3640,2276,0.005512747165099
27,7970740,5309,12.9817,173.541,77,0.06,0.1,21.2,+AC0-0.54,1.9963,0.0044,0.0095,0.006,4.5386,0.728,0.7628,4197.4,L,1.3575,0.0055,0.0304,0.006,7.749384,0.9476743,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,,,,,,0.004887647438183
28,8006161,5488,3.5913,149.427,77,0.015,0.1,11.4,0.34,1.4533,0.0066,0.0304,0.009,4.4935,0.9788,0.9247,3574.7,L,1.5331,0.0066,0.0304,0.012,7.3129287,0.98118925,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,,,,,,0.007172991226641
29,8150065,6173,3.8309,89.264,101,0.134,0.15,38.1,+AC0-0.13,0.6707,0.0077,0.0494,0.021,4.2196,1.1878,1.3986,1876.9,L,0.9901,0.0077,0.0399,0.018,10.689889,0.706583,MS,0.537686901432444,0.126743167369814,0.108414707785267,0.43914858394374,0.299249997841392,0.294015896720334,1.11614555011936,0.368312873213674,0.314291783812157,0.62079309055292,0.157819159426003,0.220338065753638,18.6440123940055,4.88388228316666,6.35539564342464,3.28719034297814,0.774854129246184,0.662801677926507,1875.38048050946,9.0493823718482,0.463376852074157,0.004795087881815,0.070410390676445,0.004117146856707,1.16416343820175,0.003187446988979,1.25808382874995,0.072944817194783,0.761787098354088,0.05689103811362,,0,,2727,5329,1487,5195,0.002578791050933
