,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,nus*,l_nus*,u_nus*,cosi,l_cosi,u_cosi,i,l_i,u_i,nus,l_nus,u_nus,P,l_P,u_P,vsini,l_vsini,u_vsini,fit_numax,efit_numax,fit_d01,efit_d01,fit_d02,efit_d02,fit_epsilon,efit_epsilon,V1,eV1,V2,eV2,flag,chainflag,ebprp
20,7206837,6305,2.9046,79.131,77,0.037000000000000005,0.1,10.6,0.1,0.3034,0.0077,0.0304,0.018000000000000002,4.1635,1.298,1.5635,1652.5,L,0.4152,0.0066,0.0304,0.015,9.701858999999999,0.6637449000000001,1.5164076642786386,0.1318442655316454,0.0967364825479684,0.8477212483716108,0.03142716267180834,0.024746083992517875,0.559121844461753,0.04855435638947658,0.05670850813653572,2.8475679299009538,0.3839118254485734,0.3446229831730201,4.0645471360104315,0.4388009211987711,0.63337890388609,10.363721362207706,0.9010751286494578,0.6611348480384596,1661.1479635666874,4.2012787759838375,0.47297614297791024,0.0038881006763524795,0.07333690523191747,0.005082173237957344,1.0581204669391986,0.0036069635283162427,1.2383407260284525,0.041801925183469146,0.6886789605514951,0.0474031359000362,rhat_1,0,0.0031518170579134964
21,7296438,5775,7.2325,88.698,77,0.04,0.1,8.5,0.19,1.7727,0.0088,0.0494,0.018000000000000002,4.2009,1.0776,1.3626,1847.8,L,1.4852,0.0099,0.0608,0.024,10.045428,0.839303,0.15816896730729973,0.07989214201150362,0.07413722155673122,0.5772377483971747,0.39646666360311544,0.3360600552855513,0.9554544166377935,0.5359669315590626,0.4335715130692569,0.1984943207742377,0.1037769457412443,0.2533214651160126,58.30934623177244,32.692547438487054,63.88655861547177,0.9420881377250565,0.47585465447373854,0.44157711959258283,1849.0014107203701,6.2476004401810314,0.44751791123641316,0.003656173705751886,0.06013140941615667,0.0031653764333129594,1.3599459712227064,0.002616782578666932,1.282057809399428,0.045005981566583086,0.8099473096216674,0.035682637651379245,rhat_01,3,0.003181451541341986
22,7510397,6171,2.8247,62.248999999999995,77,0.02,0.1,3.4,-0.21,0.1597,0.0066,0.0209,0.018000000000000002,4.0359,1.3683,1.8574,1189.1,L,0.1437,0.0044,0.0209,0.018000000000000002,7.732988000000001,0.6897621,0.6370324429560941,0.0498888154289473,0.052156312697271945,0.9355300181462971,0.01188821174673782,0.011356743228574828,0.3610398139037499,0.03365568748883124,0.032280010966366623,1.8051858347363252,0.1543174872982256,0.18184135835462278,6.411569297772682,0.5867501163533779,0.5993314305332449,5.17212322931943,0.40505174268035304,0.4234617552685611,1183.4942558382445,2.8418907770158057,0.43337229190562243,0.0040733594603000745,0.07152150465336463,0.0036128582318686736,1.1154207410381578,0.00282510247277723,1.333220517199306,0.02687159783896731,0.8693136702575653,0.027221114974263827,,2,0.005355226643465329
23,7680114,5811,7.6796,85.145,77,0.039,0.1,7.1,0.05,1.2776,0.0077,0.0494,0.021,4.1723,1.0586,1.3926,1709.1,L,1.4533,0.0099,0.0399,0.021,10.02261,0.80933,0.2527589409157095,0.06168885866170301,0.05410235550051967,0.7675316034482205,0.47007387710528103,0.16473787506828452,0.69581488818021,0.3256548974363096,0.5729526872677941,0.3762845058960184,0.15085336966592738,0.4398903065946857,30.758837776642583,16.57796131944464,20.583112020124307,1.5386321027254943,0.3755216649251778,0.32933996599521653,1707.7537675338904,5.745112260149654,0.4389619109987827,0.0034424734340819385,0.06321277710524695,0.002617159885042894,1.37097275138666,0.0021214052253535343,1.2617742178179938,0.04147192880216921,0.7994559878591035,0.03428708003678915,,0,0.003312309060602198
24,7771282,6248,3.24,72.46300000000001,77,0.069,0.1,27.0,-0.02,0.3194,0.0066,0.0304,0.018000000000000002,4.1118,1.2885,1.6535,1465.1,L,0.3513,0.0066,0.0304,0.015,10.712941,0.7155037,1.033726804869119,0.16739807945286067,0.13026757123985955,0.3551198719352882,0.24761912144857984,0.2597192088274332,1.2077540327881708,0.2991396227598139,0.25533340543323924,1.135054782557482,0.18825274682769877,0.21154827110467944,10.19692993587168,1.6019144672770942,2.0274566380891503,7.471569641039672,1.209919683340991,0.9415478305324001,1458.1981968654743,7.3648723906756,0.4463851937185267,0.007502604348923914,0.06835166095374104,0.004730627249005054,1.11706091965185,0.005961012481771721,1.2540834043794442,0.05323441460368339,0.8458126637016163,0.07161914079319787,,0,0.002508740643872122
25,7871531,5501,9.9633,151.329,77,0.025,0.1,19.3,-0.26,1.7727,0.0066,0.0209,0.012,4.4781,0.8287,0.8707,3455.9,L,1.9324,0.0055,0.0304,0.009000000000000001,9.206714999999999,0.95205975,0.3262244284157375,0.03283798847163172,0.028183798068365462,0.3276561537255096,0.20801638435749642,0.19919778902145135,1.236974615412451,0.22107316020750867,0.2138946734999665,0.35060640807555277,0.039363282534217614,0.04601032875022659,33.01158740840069,3.829576107564961,4.175014138417843,1.2416148409463874,0.1249818538458578,0.10726793859631978,3452.201078367117,9.906937080537318,0.48281191611724333,0.0022237738083839553,0.05294886970558001,0.0018876756385576149,1.5065525321574837,0.0010975652277527281,1.2306211011553907,0.05215033964911542,0.6551593553765956,0.038054409687398816,,0,0.003759669691465638
26,7940546,6235,2.3297,58.762,77,0.028999999999999998,0.1,3.3,-0.2,0.0798,0.0033,0.0114,0.009000000000000001,4.0073,1.3987,1.9414,1116.6,L,0.0798,0.0011,0.0304,0.027000000000000003,7.301532300000001,0.6680560000000001,1.1329979468032922,0.029022548949630744,0.02855921000793349,0.22317922324935266,0.13545704201930567,0.11262143656018705,1.345721581019184,0.11738037340834495,0.137239666815693,1.1663245665312167,0.04092621604002944,0.047041946125537804,9.923544788918615,0.3847335943234871,0.36087945007604816,9.61492763277417,0.2462932158497484,0.2423611960200276,1116.616288145859,3.1928619431557763,0.42712353777688467,0.004210509791284234,0.07230986739303802,0.003793164649555439,1.0797057746930547,0.002847663237553366,1.3767156545500931,0.03691179242425635,0.9736225366994817,0.04174671460912016,,0,0.0055127471650994325
27,7970740,5309,12.9817,173.541,77,0.06,0.1,21.2,-0.54,1.9963,0.0044,0.0095,0.006,4.5386,0.728,0.7628,4197.4,L,1.3575,0.0055,0.0304,0.006,7.749384,0.9476743000000001,0.25666149146212075,0.021993747687093917,0.021746421756183854,0.44063109758413,0.24659540530413995,0.19624168671039466,1.114494748756707,0.23413364284595173,0.26102721076249447,0.28572620971992146,0.03472989287233491,0.062338173197848235,40.50756871678721,7.254886254540487,5.604956835346343,0.8558019460571475,0.07333508413934686,0.07251041031789629,4198.804076979273,9.553444703343303,0.48400382749520066,0.003004329762889446,0.05115286628463023,0.002323142286915547,1.458318538004412,0.0012168983923406262,1.1012033826522822,0.040507118493062766,0.5517797374851112,0.03088251168171552,rhat_01,2,0.00488764743818255
28,8006161,5488,3.5913,149.42700000000002,77,0.015,0.1,11.4,0.34,1.4533,0.0066,0.0304,0.009000000000000001,4.4935,0.9788,0.9247,3574.7,L,1.5331,0.0066,0.0304,0.012,7.3129287,0.98118925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,0,0.007172991226640867
29,8150065,6173,3.8309,89.264,101,0.134,0.15,38.1,-0.13,0.6707,0.0077,0.0494,0.021,4.2196,1.1878,1.3986,1876.9,L,0.9901,0.0077,0.0399,0.018000000000000002,10.689888999999999,0.706583,0.5586046986515347,0.13876259145088193,0.10660810306043067,0.47971913700045565,0.3233561080481921,0.2573496061952826,1.0704617411875446,0.32838810353818015,0.34332727678746,0.64607695813547,0.17234110061287983,0.2627002709100903,17.91438921635757,5.178513204478499,6.517103498389986,3.415072909638753,0.8483358054078818,0.651756860600214,1876.4427703012523,9.881621639093055,0.46328212059650364,0.004438180093673194,0.0699307060720311,0.00456167995751193,1.1638264383743824,0.0034770779456871903,1.2487832796054474,0.08005140458168625,0.7716159628405124,0.06340315785302775,rhat_01,1,0.0025787910509331075
