,KIC,Teff,eTeff,age,loage,upage,modmass,lomodmass,upmodmass,P,l_P,u_P,rhat_flag,eye_flag,source,hrclass,comment
75,6278762,5046,74,11.54,0.94,0.99,0.739,0.011,0.009,32.9706881431425,13.5051103659028,13.5557266900895,,2,K,MS,+ACI-low quality data  higher low frequency peaks+ACI-
76,6521045,5825,75,6.5,0.56,0.46,1.108,0.019,0.021,24.7794566740289,2.03032712812684,1.85282475148489,,0,K,SG,
77,7670943,6463,110,2.78,0.51,0.62,1.239,0.051,0.04,6.04614209937833,0.586529015173145,0.597730358513575,,0,K,H,
78,8077137,6072,75,6.23,1.23,0.56,1.117,0.049,0.04,12.9719547934326,1.46312522220886,1.34716527218905,,0,K,SG,
79,8292840,6239,94,3.85,0.75,0.81,1.148,0.049,0.051,7.706596097966,0.528161800652648,0.497329354965805,,0,K,MS,
80,8349582,5699,74,8.03,0.7,0.8,1.068,0.019,0.021,41.6817308817085,14.9463852104454,19.5654666889724,rhat_01,1,K,SG,+ACI-funky sampling in cosi  median looks good+ACI-
81,8478994,5417,75,5.35,1.01,0.91,0.81,0.011,0.019,,,,empty,,K,MS,
82,8494142,6144,106,2.62,0.24,0.26,1.418,0.019,0.03,14.5165146992144,4.47302960359936,9.88500061737599,,0,K,SG,
83,8554498,5945,60,5.6,0.42,0.45,1.197,0.029,0.021,35.7120687018896,31.3912603561954,25.6113234414594,,1,K,SG,+ACI-funky sampling in cosi  median looks good+ACI-
84,8866102,6325,75,2.6,0.53,0.56,1.228,0.04,0.042,5.25643289061613,0.154619769853904,0.15213563248613,,0,K,H,
85,9592705,6174,92,2.33,0.16,0.18,1.509,0.021,0.029,10.7335604235957,1.94860063946761,2.06869177496363,,0,K,SG,
86,10514430,5784,98,7.84,0.91,0.4,1.059,0.021,0.04,53.555235074569,27.248587823305,23.5926843778679,,0,K,SG,
87,10586004,5770,83,6.43,0.61,0.64,1.178,0.03,0.021,19.6031873584965,6.54395981643485,11.0828711603983,,0,K,SG,
88,10666592,6350,80,2.11,0.24,0.29,1.497,0.04,0.042,9.45050790052381,3.22172864521965,3.6111306631599,,0,K,SG,
89,11133306,5982,82,5.14,0.88,0.86,1.059,0.03,0.04,24.6283256453211,10.024896146606,14.3192183636403,,0,K,MS,
90,11295426,5793,74,6.31,0.34,0.32,1.068,0.019,0.011,42.6149839179338,14.5396829459241,11.5009650693305,,0,K,MS,
91,11401755,5911,66,7.1,0.59,0.61,1.059,0.021,0.03,18.4755570843519,4.34883217960942,4.68916238566321,,2,K,SG,+ACI-low quality data  little dodge+ACI-S96
92,11807274,6225,75,3.59,0.45,0.78,1.239,0.04,0.04,7.86600895605305,0.527579124556413,0.493369886092617,,0,K,SG,
93,11853905,5781,76,6.71,0.67,0.77,1.117,0.029,0.021,34.0041064702429,17.1638981783202,18.869752517876,,0,K,SG,
94,11904151,5647,74,10.23,0.67,0.83,0.918,0.019,0.011,40.9449520618813,12.7720540559806,16.5401983716962,rhat_01,2,K,MS,+ACI-low quality data  little dodge+ACI-S93
