,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
28,1435467,20,2,1551.1,0.56,0.58,,,,,,,>,6.0,L,1551.8192633688268,0.5385923602880291,4.069849851031353,0.399981001120552,3.4192480901682223,0.1750431154581614,1.8358035331834044,0.2598554407999286,
29,1435467,21,0,1556.74,0.34,0.34,3.78,0.12,0.15,4.97,0.65,0.32,>,6.0,L,1557.054803053941,0.4227570209886236,4.32675054405407,0.4137074519293917,3.2331383604481054,0.19888468267673978,1.5383466827453118,0.2029837668103712,
30,1435467,21,1,1590.37,0.23,0.23,,,,,,,>,6.0,L,1590.348728406209,0.2087897943968531,4.471964710848967,0.34281483251148104,4.508228639502972,0.11365464467174771,2.8959088321483306,0.24103127840582345,
31,1435467,21,2,1622.34,0.75,0.66,,,,,,,>,6.0,L,1624.8650014898717,0.838754592479383,4.882894997496946,0.4515941293939099,3.321555693611662,0.20140969350984037,1.4385447390068755,0.2299552797163579,
32,1435467,22,0,1627.75,0.42,0.41,3.62,0.13,0.15,6.01,0.62,0.54,>,6.0,L,1627.2461047748939,0.7780210236573686,5.18542173848001,0.45255236294742734,3.067228168603458,0.22944599496850374,1.1482245235109914,0.17075704924885476,
33,1435467,22,1,1662.08,0.26,0.27,,,,,,,>,6.0,L,1661.978157976251,0.22982834275213138,4.9313884048198195,0.3983529898952975,4.271237415452335,0.10936070455660218,2.3539512328233503,0.20309110800907199,
34,1435467,22,2,1696.74,0.91,1.08,,,,,,,>,6.0,L,1697.3509581442293,1.0155628412997992,5.207917995614345,0.4852118842375128,2.7525694976744024,0.21216846181969382,0.9265110910089747,0.17381382909010937,
35,1435467,23,0,1698.86,0.46,0.41,3.3,0.14,0.1,5.77,0.69,0.54,>,6.0,L,1697.9811049511836,0.512606362111854,5.23732821754662,0.473471167945745,2.8277713763694985,0.20854419437174757,0.9711288786816342,0.14131069221631143,
36,1435467,23,1,1732.87,0.35,0.32,,,,,,,>,6.0,L,1733.0344740079518,0.3142611153127056,5.669344968789082,0.46621723223625255,3.9119982937967146,0.1168867182983498,1.71822147100323,0.15294574067914052,
37,1435467,23,2,1767.38,1.28,1.46,,,,,,,>,6.0,L,1766.5283868538309,1.025605920595426,5.438432166648027,0.5536653435352986,2.5068310115269736,0.18631440597651758,0.7362990742623079,0.1331708447599783,
38,1435467,24,0,1771.56,0.52,0.6,2.99,0.11,0.15,7.17,0.84,1.02,>,6.0,L,1771.628686239835,0.517351438867177,5.466273681506833,0.5519967481934134,2.4613596154583037,0.19480118947565678,0.7065934401702431,0.11832241644976654,
39,1435467,24,1,1804.11,0.44,0.42,,,,,,,>,6.0,L,1804.3147772000107,0.4025590571926766,5.892494857257795,0.5673518886595951,3.110654019959543,0.1177952163175214,1.0430710368173655,0.10632846458169556,
40,1435467,24,2,1836.79,1.18,1.05,,,,,,,,1.22,L,1837.4022365557266,0.9357383162046137,5.687568763659549,0.6232507069856936,2.1802812596147527,0.1937333812997388,0.532235060006966,0.11430048086831046,
41,1435467,25,0,1841.53,0.52,0.48,2.31,0.15,0.07,5.26,0.8,0.72,>,6.0,L,1841.3690227832299,0.7160678690883765,5.816752079314348,0.6269459303116784,2.1052350604252084,0.20075366957751264,0.48537946407474275,0.09439753426088454,
42,1435467,25,1,1875.62,0.6,0.68,,,,,,,>,6.0,L,1875.7448568832867,0.6258190211597644,6.545030534640658,0.6565856343809527,2.723623328617317,0.1290007949415891,0.7224420459770389,0.08236909968405752,
43,1435467,25,2,1907.56,1.94,1.93,,,,,,,,0.88,L,1908.4702554462442,1.3261103083383199,6.2755450155255,0.7304718346346056,1.7581086797163143,0.19076276451523339,0.31349841604110507,0.07766560631471962,
44,1435467,26,0,1913.77,0.78,0.73,2.08,0.09,0.1,6.07,0.73,0.78,,4.21,L,1913.6835275847734,0.8958848053252498,6.325215421212114,0.7221725685763221,1.7687842161575245,0.1902920667429307,0.31504843274687866,0.06954351065656496,
45,1435467,26,1,1946.24,0.76,0.76,,,,,,,>,6.0,L,1946.0976490289768,0.7133015051509025,6.549813145477591,0.7418034185810916,2.188406359458634,0.1342910362638651,0.46506616354174424,0.0677138221175722,
46,2837475,10,2,901.21,3.05,2.63,,,,,,,,0.84,L,902.4351185002283,1.9826975983256283,3.583546494650353,0.35862061563494674,1.322718514362668,0.16233321412145643,0.31134470937336434,0.08108811120568904,
47,2837475,11,0,909.53,2.41,2.62,1.32,0.29,0.27,8.16,2.97,4.94,,3.09,L,908.518220296073,0.7170059336115452,3.5909157579455497,0.3572001766221901,1.3472677331286074,0.14544531012468043,0.32226433592731496,0.07331018697722752,
48,2837475,11,1,943.78,1.43,1.8,,,,,,,,3.6,L,944.8565408869788,0.42179084466451366,3.6110564626330337,0.34668451998732763,2.1145283509798274,0.12528332361091074,0.7893549193174486,0.11518668657052865,
49,2837475,11,2,978.78,2.18,2.41,,,,,,,,1.25,L,978.9252316749346,1.0268593834548672,3.6727446513652473,0.3624273901246656,1.6802690250693009,0.1568288717874035,0.4879568394958932,0.10103565615971187,
50,2837475,12,0,985.93,0.69,0.59,1.96,0.21,0.16,2.86,1.12,5.34,>,6.0,L,985.7217357244989,0.34800447992748695,3.638310886973967,0.3409532801139444,1.7494884735074203,0.13206216938271242,0.5369693952293697,0.0910218433708238,
51,2837475,12,1,1019.16,0.87,1.26,,,,,,,>,6.0,L,1020.494943850279,0.28894785135651735,3.7485549882485003,0.3363559938609966,2.7061233528952817,0.11638935028459775,1.246209576209628,0.14034613197547915,
52,2837475,12,2,1053.35,2.78,2.89,,,,,,,,1.45,L,1054.7225688879912,1.520232623352175,4.069945615020085,0.35837979527601055,2.045733734510187,0.14543529121796253,0.6557404035245582,0.11183842576733635,
53,2837475,13,0,1059.16,0.85,1.15,2.12,0.18,0.17,5.17,1.52,1.93,>,6.0,L,1059.1829359015746,0.8653598006445531,4.140351625265,0.36356635390772324,1.966277082808614,0.14193489632778478,0.5931912955912486,0.08911015107660451,
54,2837475,13,1,1094.73,0.52,0.45,,,,,,,,5.07,L,1094.3928735883312,0.43317623600564714,4.331558292217652,0.3493204936302653,3.102239189440601,0.10945033362258395,1.413042904731809,0.13198643189919962,
55,2837475,13,2,1128.42,1.44,1.3,,,,,,,,3.16,L,1129.1403956711652,0.791587664451318,4.425052961561642,0.3529247331742282,2.4970365164095267,0.14364891082554834,0.8975979328722574,0.12452780319810258,
56,2837475,14,0,1133.38,0.53,0.49,2.81,0.19,0.1,4.86,0.62,0.9,>,6.0,L,1132.7629975757027,0.39346869286468183,4.458434123726507,0.34610081087341493,2.4825284283220252,0.1391106668307919,0.8796112571621388,0.10327693911067244,
57,2837475,14,1,1166.8,0.37,0.4,,,,,,,>,6.0,L,1166.769467213891,0.30364396516251047,4.594885699995588,0.3324187361830951,3.682739945445821,0.10562651995931695,1.8814617254092636,0.1559619531813336,
58,2837475,14,2,1202.25,0.95,0.97,,,,,,,>,6.0,L,1202.1013012169583,0.7854327978383422,4.6577314638056855,0.35293980679414816,2.843153219220118,0.13831268777226044,1.1023883710142384,0.13612045644350354,
59,2837475,15,0,1205.82,0.28,0.35,2.95,0.17,0.14,4.57,0.67,0.8,>,6.0,L,1205.9517718784377,0.32784333595098225,4.672358699141435,0.3598805891783555,2.7576314242593094,0.13776132372096406,1.0345427215756235,0.11182080647155489,
60,2837475,15,1,1239.61,0.48,0.48,,,,,,,>,6.0,L,1240.0848886686392,0.3495775045484372,5.026208334996893,0.3459737926354814,3.9931492876048904,0.10321040832628742,2.0191453136379334,0.15337909757215648,
61,2837475,15,2,1271.68,0.8,0.81,,,,,,,,3.18,L,1273.5822359971103,1.1055645659175528,5.10404597871719,0.3882310501774619,2.9502792203407644,0.14671751514985834,1.0870049797526307,0.13555065249118295,
62,2837475,16,0,1279.67,0.38,0.43,3.2,0.17,0.13,5.0,0.65,0.77,>,6.0,L,1280.4593797634493,0.5449639040758246,5.196860398426088,0.3596164655943161,2.9944904124984575,0.14252273529716292,1.1016462746327729,0.11384802796573093,
63,2837475,16,1,1314.17,0.48,0.46,,,,,,,>,6.0,L,1314.611913378892,0.3261769223645135,5.287737970972732,0.3436246492002844,4.201300631811028,0.10379852650499795,2.1267281620518927,0.1553616050038808,
64,2837475,16,2,1346.69,0.88,0.92,,,,,,,,4.22,L,1349.6238513462483,0.7706816772610503,5.217764827023964,0.35501822095758173,3.3281444860610856,0.138156208589677,1.3511417085801831,0.14691496326437953,
65,2837475,17,0,1356.21,0.37,0.36,3.3,0.14,0.13,5.11,0.54,0.63,>,6.0,L,1355.934943820167,0.45301864016621013,5.318124653232488,0.3402003841864286,3.1763365477018777,0.14017233088977582,1.2092609837229245,0.1181301272806213,
66,2837475,17,1,1391.34,0.32,0.33,,,,,,,>,6.0,L,1390.9638645771843,0.2834782866055099,5.371748815029983,0.3409861038133576,4.351067499143181,0.10788688574577973,2.2399787952806762,0.158555776162623,
