,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,evsini,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,vsini,G,bprp
48,9965715,5860,2.9206,97.236,180,0.041,0.18,9.2,,-0.44,0.7506,0.0077,0.0494,0.015,4.2724,1.2087,1.3266,2079.3,L,0.8624,0.0088,0.0399,0.015,,9.099501,0.6507368
49,10068307,6132,2.3616,53.945,77,0.019,0.1,2.8,0.5,-0.23,0.0958,0.0044,0.0209,0.018,3.9666,1.469,2.0823,995.1,L,0.0798,0.0044,0.0095,0.018,6.4,8.101827,0.69298553
50,10079226,5949,3.0643,116.345,77,0.059,0.1,47.7,0.5,0.11,0.6548,0.0055,0.0304,0.012,4.3659,1.1194,1.1466,2653.0,L,0.7027,0.0055,0.019,0.009,4.0,9.990819,0.76718044
51,10162436,6146,2.4574,55.725,77,0.035,0.1,4.0,0.5,-0.16,0.1118,0.0055,0.0095,0.018,3.9809,1.4481,2.0373,1052.0,L,0.0958,0.0055,0.0209,0.021,6.4,8.514332,0.686676
52,10454113,6177,2.8886,105.063,77,0.031,0.1,8.2,0.5,-0.07,0.527,0.0055,0.0304,0.009,4.3142,1.1688,1.2456,2357.2,L,0.559,0.0055,0.0209,0.009,6.1,8.549732,0.7091837
53,10516096,5964,7.0089,84.424,77,0.022,0.1,4.6,0.5,-0.11,1.4533,0.0099,0.0608,0.021,4.169,1.0586,1.3986,1689.8,L,1.3255,0.011,0.0494,0.024,4.6,9.414386,0.7613535
54,10644253,6045,2.3936,123.08,77,0.056,0.1,21.3,0.5,0.06,0.9582,0.0066,0.0399,0.012,4.3956,1.0985,1.0987,2899.7,L,1.1179,0.0077,0.0399,0.015,3.2,9.12499,0.7522421
55,10730618,6150,3.0483,66.333,180,0.061,0.18,14.6,,-0.11,0.2875,0.0077,0.0494,0.03,4.0623,1.3379,1.7794,1282.1,L,0.4631,0.0066,0.0399,0.024,,10.375351,0.6479645
56,10963065,6140,7.1526,103.179,77,0.027,0.1,6.7,0.5,-0.19,1.613,0.011,0.0608,0.021,4.2768,0.9883,1.1946,2203.7,L,1.9164,0.011,0.0608,0.021,4.5,8.699197,0.7053232
57,11081729,6548,1.8825,90.116,82,0.048,0.1,11.0,0.5,0.11,0.4152,0.0099,0.0494,0.018,4.2449,1.298,1.4226,1968.3,L,0.5909,0.0088,0.0399,0.015,24.1,8.927005,0.5932684
58,11253226,6642,1.5951,76.858,77,0.026,0.1,10.6,0.5,-0.08,0.1278,0.0055,0.0095,0.015,4.1734,1.4082,1.6145,1590.6,L,0.0639,0.0044,0.0209,0.012,14.4,8.360672,0.55768776
59,11772920,5180,10.666,157.746,180,0.032,0.18,55.1,,-0.09,2.9704,0.0055,0.0399,0.012,4.5001,0.8287,0.8438,3674.7,L,2.7309,0.0077,0.0399,0.015,,9.654076,0.97848034
60,12009504,6179,3.9746,88.217,77,0.026,0.1,7.7,0.5,-0.08,0.4312,0.0066,0.0399,0.015,4.2108,1.1688,1.4016,1865.6,L,0.5749,0.0055,0.019,0.012,7.7,9.255096,0.6928663
61,12069127,6276,2.0103,48.4,77,0.048,0.1,10.1,0.5,0.08,0.1278,0.0055,0.019,0.021,3.9116,1.5678,2.2983,884.7,L,0.1118,0.0044,0.0304,0.021,6.0,10.62014,0.678072
62,12069424,5825,6.6735,103.277,50,0.021,0.03,4.6,0.5,0.1,0.7666,0.0066,0.0209,0.012,4.2867,1.0491,1.2156,2188.5,L,0.8145,0.0066,0.019,0.012,2.8,5.80321,0.8201175
63,12069449,5750,7.3922,116.929,50,0.012,0.02,5.0,0.5,0.05,0.9103,0.0066,0.019,0.009,4.3527,0.9883,1.0957,2561.3,L,0.8943,0.0055,0.0209,0.009,2.1,6.0568113,0.83186626
64,12258514,5964,4.0544,74.799,77,0.016,0.1,3.3,0.5,0.0,0.1597,0.0044,0.0095,0.009,4.1261,1.2581,1.6055,1512.7,L,0.1757,0.0033,0.0095,0.012,3.9,8.008107,0.74437475
