,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,nus*,l_nus*,u_nus*,cosi,l_cosi,u_cosi,i,l_i,u_i,nus,l_nus,u_nus,P,l_P,u_P,vsini,l_vsini,u_vsini,fit_numax,efit_numax,fit_d01,efit_d01,fit_d02,efit_d02,fit_epsilon,efit_epsilon,V1,eV1,V2,eV2,flag,chainflag,flagch,ebprp
30,8179536,6343,3.5434,95.09,77,0.057999999999999996,0.1,13.8,-0.03,0.8145,0.0099,0.0608,0.018000000000000002,4.2548,1.1593,1.3266,2074.9,L,1.038,0.0099,0.0494,0.021,9.390101,0.6612796999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.003556784772824129
31,8228742,6122,2.8886,62.071000000000005,77,0.022000000000000002,0.1,3.4,-0.08,0.1757,0.0066,0.019,0.021,4.0348,1.3778,1.8694,1190.5,L,0.1597,0.0055,0.0209,0.021,9.336569,0.7277889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.00395140101318467
32,8379927,6067,1.9943,120.288,120,0.017,0.15,6.0,-0.1,0.7506,0.0077,0.0399,0.015,4.3879,1.1194,1.1197,2795.3,L,0.8464,0.0066,0.0399,0.015,6.9261136,0.752151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.005293578098531876
33,8394589,6143,4.4537,109.488,77,0.034,0.1,10.5,-0.29,0.8304,0.0077,0.0285,0.015,4.3219,1.0377,1.1646,2396.7,L,0.9422,0.0077,0.0418,0.015,9.487703999999999,0.7004528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004934026903368018
34,8424992,5719,9.612,120.584,77,0.062,0.1,27.0,-0.12,1.7407,0.0066,0.0399,0.015,4.3593,0.9179999999999999,1.0477,2533.7,L,1.9164,0.0066,0.0399,0.012,10.269356,0.840024,0.22374180327572818,0.0641859380347917,0.06214095364625677,0.5130168776239552,0.34746869665959934,0.36285256167501456,1.032100588386438,0.5285389094260071,0.37238189627636453,0.27363703591603383,0.08592367937775952,0.19597235646218603,42.29717675220934,17.651004042824358,19.36106267984298,1.0246745498496264,0.29395354913370764,0.28458809561946574,2535.961515252735,9.179581593202329,0.4795577989364652,0.005046489770649587,0.043061580401894235,0.0032427417187808685,1.5194268351239715,0.001526847550413546,1.2363547958526189,0.07803922282262188,0.794578579245356,0.061962358927720174,,0.0,,0.002710447561290469
35,8694723,6246,4.6932,75.112,77,0.019,0.1,3.7,-0.42,0.511,0.0066,0.0209,0.012,4.1129,1.1384,1.5485,1470.5,L,0.4791,0.0088,0.0209,0.015,8.807503,0.65730476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0070103148030372054
36,8760414,5873,11.6642,117.23,77,0.022000000000000002,0.1,9.1,-0.92,1.6059,0.0063,0.0186,0.0121,4.3293,0.8115,1.0196,2455.3,L,1.2847,0.0047,0.031,0.0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,
37,8938364,5677,10.2508,85.684,77,0.018000000000000002,0.1,5.2,-0.13,0.6548,0.0066,0.0095,0.006,4.1734,0.9883,1.3446,1675.1,L,0.5589999999999999,0.0022,0.0095,0.018000000000000002,10.055810000000001,0.8286247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0026985301303656256
38,9025370,5270,6.5458,132.628,180,0.03,0.18,20.0,-0.12,1.1339,0.0066,0.0304,0.012,4.4231,0.9693,1.0027,2988.6,L,1.2616,0.0044,0.0304,0.009000000000000001,8.772598,0.85172653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.005968142034296377
39,9098294,5852,8.0789,108.89399999999999,77,0.023,0.1,9.2,-0.18,0.7346,0.0055,0.0304,0.009000000000000001,4.3076,0.9693,1.1377,2314.7,L,0.9901,0.0066,0.019,0.015,9.706002,0.7861614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004191764273462503
40,9139151,6302,1.3236,117.294,77,0.031,0.1,14.5,0.1,0.7506,0.0077,0.0494,0.015,4.3824,1.1783,1.1526,2690.4,L,0.9422,0.0077,0.0399,0.015,9.145875,0.730463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004069444770808482
41,9139163,6400,1.5951,81.17,84,0.042,0.09,6.2,0.15,0.2236,0.0088,0.0209,0.015,4.1998,1.3987,1.5575,1729.8,L,0.2236,0.0077,0.0304,0.012,8.25681,0.62723446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004800633612263069
42,9206432,6538,1.5312,84.926,77,0.046,0.1,10.3,0.16,0.3034,0.0055,0.019,0.012,4.2196,1.3778,1.5095,1866.4,L,0.2076,0.0066,0.0418,0.015,8.988301,0.5929928000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.0035456467307663254
43,9353712,6278,2.154,51.467,77,0.091,0.1,11.1,-0.05,0.1278,0.0066,0.0209,0.021,3.9435,1.5089,2.1723,934.3,L,0.1118,0.0055,0.0285,0.024,10.757383,0.6871824000000001,0.7461940742612545,0.1714217684252376,0.1622087629666331,0.7927608205598842,0.39609138920111797,0.11353028118101682,0.6554711639882735,0.21909937211074743,0.5074393958815522,1.2141871933181074,0.5253891332639189,0.8307512637740684,9.53236432089998,3.8724983541821576,7.270926434918199,7.0855484133153865,1.6277497787363853,1.5402669127357314,928.8782459829913,5.648061090922283,0.43093597223873215,0.006955572435580204,0.07843457608357546,0.005413691423662645,1.0961440677695276,0.004652708722090226,1.2719474091447802,0.05060105397022285,0.8087201092660627,0.05999842707334957,,0.0,,0.0028358667236997046
44,9410862,6047,6.928999999999999,107.39,77,0.05,0.1,31.2,-0.31,1.3255,0.0088,0.0399,0.018000000000000002,4.2999,0.9693,1.1557,2278.8,L,1.4852,0.0077,0.0494,0.018000000000000002,10.627761,0.7192420999999999,0.41242214866091653,0.08439994644429394,0.08525528841443425,0.6890579114377076,0.426236690318403,0.17911791687046863,0.8106080236966595,0.29132625121779976,0.4942432427043473,0.5624536848175273,0.1819451284197257,0.3687963308323282,20.577826832206853,8.149290952841696,9.839555948417825,2.0834782232414923,0.4263724706114427,0.4306934954981947,2281.125571158669,8.665187249700466,0.4609232252241998,0.004524665378608128,0.06099674235992086,0.004228482475785424,1.3487760913244236,0.0029303445854564902,1.1948740065992556,0.044913685263768155,0.7878985210035485,0.043865127400773196,,0.0,,0.0026452643015110336
