,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
1691,9098294,22,1,2605.21,0.12,0.13,,,,,,,>,6.0,L,2605.203829395212,0.08817449120243413,2.3811609618710854,0.3578275154060631,2.8303020914508226,0.12304947978280394,2.1453864854408864,0.3223849130874219,
1692,9098294,22,2,2657.39,0.58,0.51,,,,,,,>,6.0,L,2657.378038321767,0.34866734683410006,1.6181604766420628,0.9893866411890916,1.116225040240498,0.20326597430633472,0.5137986989173862,0.4462331039441874,
1693,9098294,23,0,2662.23,0.3,0.29,2.17,0.13,0.12,2.84,0.43,0.6,>,6.0,L,2662.164911897583,0.21860451961886676,2.809387492029763,0.6942526324244093,1.7603759339691405,0.17594932183548856,0.7118062669866911,0.14758916660225077,
1694,9098294,23,1,2715.28,0.24,0.26,,,,,,,>,6.0,L,2715.199366594632,0.16706638763561016,2.6113946983949323,0.6227544633125753,1.9448588122147896,0.13921786499630256,0.9247179461528237,0.20457904495040294,
1695,9098294,23,2,2770.81,0.96,0.9,,,,,,,>,6.0,L,2770.668378139527,0.6316265905952886,2.6853395591367004,1.4296328584091538,1.2598202291445775,0.3575346207598506,0.41507496148332057,1.403422594027104,
1696,9098294,24,0,2773.88,0.43,0.51,1.78,0.13,0.15,3.24,0.8,0.87,>,6.0,L,2774.031631494803,0.3203520903137395,2.5129428111994088,1.0249164121848848,1.495853488965971,0.30388179566894097,0.5697201821967035,0.2355187398749151,
1697,9098294,24,1,2826.22,0.53,0.56,,,,,,,,3.38,L,2826.2796717292877,0.3738758448429078,4.466761574937475,1.0744217586976967,1.746408908406925,0.17941665880055374,0.43743445123783026,0.0939139645137625,
1698,9098294,24,2,2878.55,1.59,2.31,,,,,,,,0.08,L,2879.347474150223,1.2669176652628107,2.677434747520788,1.6247751228591263,1.099990194915852,0.5563803044249747,0.3363915304584269,0.28196143784674416,
1699,9098294,25,0,2881.21,1.29,1.01,1.77,0.18,0.18,5.46,1.45,1.76,,3.86,L,2881.9413041407824,1.2464343992021172,4.24846174207126,1.7537918948279652,1.4722852070514203,0.5396285904568007,0.33862078628145303,0.14828011777227773,
1700,9139151,14,0,1804.49,0.26,0.27,0.99,0.22,0.18,0.68,0.55,0.91,>,6.0,L,1804.4229792334952,0.14830272201253042,1.0138785509786903,0.5504494733960996,0.9604102835874224,0.15433877309710278,0.5854098905517683,0.31799456917842644,
1701,9139151,15,0,1922.22,0.43,0.52,1.24,0.2,0.16,1.39,0.77,2.18,>,6.0,L,1922.1987437911257,0.2594541035523798,1.740801246056047,0.7856324453814535,1.062743391085443,0.17527114278074402,0.4114697253866977,0.18122658049745718,
1702,9139151,15,1,1976.16,0.41,0.4,,,,,,,>,6.0,L,1976.0999831999027,0.21792950357652172,1.6694976696479864,0.563218344030342,1.6549997054228238,0.1355982107673183,1.0387514546009204,0.3236247220202906,
1703,9139151,16,0,2039.25,0.5,0.41,1.24,0.14,0.17,2.4,0.73,0.83,,2.41,L,2038.8685033647457,0.23702270611041304,1.6132054985063522,0.7954942535426757,1.1335265674846096,0.17062567044650656,0.5066523089067764,0.2439476047200449,
1704,9139151,16,1,2092.85,0.29,0.28,,,,,,,>,6.0,L,2092.7653857835758,0.18836013860846706,1.7690120945042973,0.500322717277027,1.8079854147287526,0.13208050151358008,1.1726226139997733,0.3118850583974616,
1705,9139151,17,0,2154.29,0.2,0.21,1.73,0.11,0.12,1.72,0.35,0.41,>,6.0,L,2154.3654706448324,0.1317561605833035,1.5215693112617208,0.3944176467990102,1.4979870828401536,0.1317209001758182,0.9418940171422968,0.24299627727957707,
1706,9139151,17,1,2208.2,0.21,0.2,,,,,,,>,6.0,L,2208.0652839899703,0.1364388337806404,1.7918648831558197,0.3952322778227319,2.321305792403589,0.12257326895686803,1.9119516135604364,0.37840496969158705,
1707,9139151,17,2,2257.28,0.97,1.23,,,,,,,,1.94,L,2258.311094008476,0.7118595705446606,1.253052469812673,1.1488715897761772,1.1877343090881638,0.1827255769729983,0.7225917401797463,0.7760435462512313,
1708,9139151,18,0,2269.29,0.19,0.23,1.79,0.12,0.08,2.15,0.41,0.48,>,6.0,L,2269.3065724740945,0.13444250040319872,2.1320949151665545,0.45995174955066165,1.8066707510728826,0.13558002173242506,0.9684523524733074,0.19770323148358773,
1709,9139151,18,1,2323.59,0.19,0.19,,,,,,,>,6.0,L,2323.6433120584816,0.12078753880534332,1.9816292473114765,0.3718109209579681,2.5982139377224263,0.119403894247227,2.1663878146575075,0.38051692113817326,
1710,9139151,18,2,2374.28,0.62,0.67,,,,,,,>,6.0,L,2374.6925280725814,0.35856881269001056,2.456045092260829,0.8487502277811962,1.8279891221528577,0.1533666884209122,0.8699853783860444,0.29096233347728084,
1711,9139151,19,0,2385.79,0.14,0.13,2.3,0.11,0.07,1.97,0.22,0.31,>,6.0,L,2385.772265580765,0.09148854991907544,2.0118021824340184,0.3145206750549018,2.4803310249827994,0.12370837437113902,1.9379381071665382,0.3051150741940736,
1712,9139151,19,1,2440.23,0.14,0.14,,,,,,,>,6.0,L,2440.2845834224254,0.09312734932665395,1.9311452930843886,0.27015718318887816,3.1567624505844627,0.11604108890270423,3.2836599044027714,0.4702100589665053,
1713,9139151,19,2,2492.65,0.36,0.32,,,,,,,>,6.0,L,2492.4199916352245,0.19423066889097887,1.4175180849204465,0.5138428945252904,1.8921302989349345,0.1327608140035838,1.5983230003345605,0.49067519367349305,
1714,9139151,20,0,2502.81,0.11,0.11,2.69,0.09,0.09,1.92,0.16,0.24,>,6.0,L,2502.7973734875013,0.07425481500799744,1.940708245211355,0.24166428819684577,2.917145185956752,0.11743287974875255,2.791184926048412,0.3842892078713244,
1715,9139151,20,1,2557.97,0.1,0.11,,,,,,,>,6.0,L,2557.9520801031445,0.0721191829840878,1.7134763536689614,0.2343303955189838,3.425197193514099,0.11261617602544992,4.349446642250425,0.6228583056534206,
1716,9139151,20,2,2610.2,0.28,0.27,,,,,,,>,6.0,L,2610.1287642650336,0.2021863951682711,2.0561457239519596,0.48173405832495636,2.3287716937078002,0.12659439728929034,1.6711716789382594,0.36284137743270795,
1717,9139151,21,0,2620.26,0.09,0.08,2.9,0.09,0.09,1.68,0.18,0.17,>,6.0,L,2620.234885553372,0.05765674143006,1.463324358688522,0.17620236184038435,3.0143080789946812,0.12121540672812199,3.9413711722312414,0.571877202709624,
1718,9139151,21,1,2675.59,0.13,0.11,,,,,,,>,6.0,L,2675.5593527679275,0.08471914002249266,2.018334469558799,0.22732410075972492,3.7394523664146164,0.11575408769107198,4.4132603763918015,0.5406308049277612,
1719,9139151,21,2,2727.84,0.28,0.27,,,,,,,>,6.0,L,2727.9233033486007,0.17437760683371858,2.0186374495940367,0.5431901560891673,2.4478037118370715,0.13491122321918403,1.8880536924433142,0.4502138426298142,
1720,9139151,22,0,2737.47,0.12,0.12,2.87,0.08,0.1,2.17,0.18,0.26,>,6.0,L,2737.4737099918602,0.07508821955429328,1.9036436225878093,0.251155187775741,2.991861959444865,0.12313806751878266,2.9832989875266245,0.4125887989733752,
1721,9139151,22,1,2792.81,0.12,0.13,,,,,,,>,6.0,L,2792.815987417678,0.07981266465722547,1.8868273311199717,0.24922119621990338,3.5864512292372845,0.1156407756338178,4.331221125259615,0.5921625141575971,
