,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source
256,3656476,19,1,1947.51,0.04,0.05,,,,,,,>,6.0,L
257,3656476,19,2,1994.3,0.07,0.07,,,,,,,>,6.0,L
258,3656476,20,0,1998.77,0.06,0.06,4.64,0.14,0.21,0.88,0.09,0.11,>,6.0,L
259,3656476,19,3,2034.87,0.33,0.35,,,,,,,>,6.0,L
260,3656476,20,1,2040.9,0.06,0.07,,,,,,,>,6.0,L
261,3656476,20,2,2087.78,0.12,0.12,,,,,,,>,6.0,L
262,3656476,21,0,2091.72,0.09,0.09,3.96,0.1,0.17,1.4,0.13,0.13,>,6.0,L
263,3656476,21,1,2134.38,0.09,0.09,,,,,,,>,6.0,L
264,3656476,21,2,2181.8,0.24,0.32,,,,,,,>,6.0,L
265,3656476,22,0,2185.32,0.21,0.2,2.97,0.16,0.13,2.33,0.37,0.24,>,6.0,L
266,3656476,22,1,2228.57,0.2,0.21,,,,,,,>,6.0,L
267,3656476,22,2,2276.32,1.02,1.28,,,,,,,,0.64,L
268,3656476,23,0,2279.65,0.54,0.53,2.2,0.17,0.1,3.86,0.58,0.89,>,6.0,L
269,3656476,23,1,2321.76,0.4,0.45,,,,,,,>,6.0,L
270,3656476,23,2,2369.97,1.39,1.83,,,,,,,>,6.0,L
271,3656476,24,0,2372.46,0.53,0.52,2.11,0.14,0.09,4.21,0.64,0.62,>,6.0,L
272,3656476,24,1,2421.08,0.67,0.6,,,,,,,>,6.0,L
273,3735871,14,1,1949.29,0.37,0.57,,,,,,,,2.2,L
274,3735871,15,1,2072.94,0.61,0.53,,,,,,,,2.2,L
275,3735871,16,1,2194.36,0.46,0.44,,,,,,,>,6.0,L
276,3735871,16,2,2247.25,0.86,0.72,,,,,,,,0.15,L
277,3735871,17,0,2258.74,0.34,0.34,1.42,0.08,0.11,1.72,0.36,0.61,>,6.0,L
278,3735871,17,1,2315.65,0.34,0.38,,,,,,,>,6.0,L
279,3735871,17,2,2368.31,0.65,0.63,,,,,,,,1.13,L
280,3735871,18,0,2380.18,0.28,0.26,1.67,0.14,0.12,2.29,0.64,0.61,>,6.0,L
281,3735871,18,1,2436.36,0.23,0.24,,,,,,,>,6.0,L
282,3735871,18,2,2490.15,0.49,0.44,,,,,,,,2.49,L
283,3735871,19,0,2501.35,0.18,0.19,2.09,0.13,0.16,1.63,0.4,0.42,>,6.0,L
284,3735871,19,1,2558.73,0.19,0.2,,,,,,,>,6.0,L
285,3735871,19,2,2612.33,0.91,0.64,,,,,,,>,6.0,L
286,3735871,20,0,2624.26,0.15,0.17,2.03,0.13,0.14,1.6,0.35,0.38,>,6.0,L
287,3735871,20,1,2682.0,0.16,0.17,,,,,,,>,6.0,L
288,3735871,20,2,2736.76,0.67,0.59,,,,,,,>,6.0,L
289,3735871,21,0,2747.08,0.14,0.15,2.53,0.1,0.14,1.83,0.24,0.42,>,6.0,L
290,3735871,21,1,2805.33,0.16,0.17,,,,,,,>,6.0,L
291,3735871,21,2,2859.46,0.32,0.31,,,,,,,>,6.0,L
292,3735871,22,0,2870.62,0.15,0.15,2.65,0.09,0.18,2.0,0.38,0.44,>,6.0,L
293,3735871,22,1,2927.61,0.17,0.17,,,,,,,>,6.0,L
294,3735871,22,2,2982.03,0.31,0.3,,,,,,,>,6.0,L
295,3735871,23,0,2992.84,0.2,0.2,2.56,0.13,0.12,2.32,0.32,0.48,>,6.0,L
296,3735871,23,1,3051.08,0.24,0.25,,,,,,,>,6.0,L
297,3735871,23,2,3105.75,0.61,0.68,,,,,,,>,6.0,L
298,3735871,24,0,3116.81,0.3,0.3,2.09,0.13,0.15,3.0,0.64,0.64,>,6.0,L
299,3735871,24,1,3174.81,0.34,0.36,,,,,,,>,6.0,L
300,3735871,24,2,3232.28,1.49,1.87,,,,,,,,0.95,L
301,3735871,25,0,3240.11,0.87,0.89,1.96,0.14,0.19,4.85,1.17,1.49,,3.7,L
302,3735871,25,1,3297.86,0.68,0.67,,,,,,,,3.86,L
303,3735871,25,2,3353.18,1.71,1.86,,,,,,,,0.82,L
304,3735871,26,0,3360.85,2.85,4.25,1.48,0.28,0.17,6.06,1.94,3.47,,3.03,L
305,3735871,26,1,3421.04,1.15,0.98,,,,,,,,1.61,L
306,3735871,27,0,3488.39,0.8,0.83,1.47,0.22,0.34,4.23,1.83,2.87,>,6.0,L
307,4914923,11,1,1139.07,0.4,0.34,,,,,,,>,6.0,L
308,4914923,12,0,1188.03,0.5,0.5,1.25,0.17,0.14,1.24,0.55,0.97,,2.31,L
309,4914923,12,1,1227.11,0.41,0.32,,,,,,,>,6.0,L
310,4914923,13,0,1277.02,0.22,0.24,1.23,0.21,0.17,0.88,0.41,1.16,>,6.0,L
311,4914923,13,1,1315.83,0.19,0.18,,,,,,,>,6.0,L
312,4914923,14,0,1365.18,0.13,0.12,2.17,0.13,0.17,1.4,0.29,0.35,>,6.0,L
313,4914923,14,1,1403.34,0.14,0.13,,,,,,,>,6.0,L
314,4914923,15,0,1452.41,0.14,0.13,2.21,0.13,0.15,1.56,0.29,0.26,>,6.0,L
315,4914923,15,1,1490.56,0.11,0.1,,,,,,,>,6.0,L
316,4914923,15,2,1533.4,0.23,0.26,,,,,,,>,6.0,L
317,4914923,16,0,1539.08,0.09,0.09,2.98,0.11,0.11,1.45,0.17,0.19,>,6.0,L
318,4914923,16,1,1577.7,0.09,0.09,,,,,,,>,6.0,L
319,4914923,16,2,1621.31,0.16,0.16,,,,,,,>,6.0,L
320,4914923,17,0,1627.06,0.08,0.08,3.71,0.13,0.13,1.42,0.16,0.14,>,6.0,L
321,4914923,17,1,1666.31,0.06,0.06,,,,,,,>,6.0,L
322,4914923,17,2,1710.08,0.14,0.13,,,,,,,>,6.0,L
